id, start, end, time
0,1391675585,1391675595,10
1,1391675600,1391675609,9
3,1391675647,1391675654,7
4,1391675666,1391675666,0
2,1391675619,1391675692,73
5,1391675667,1391675734,67
7,1391675734,1391675734,0
6,1391675696,1391675744,48
8,1391675830,1391675838,8
9,1391675839,1391676077,238
10,1391676078,1391676080,2
12,1391676104,1391676106,2
13,1391676107,1391676157,50
11,1391676087,1391676172,85
14,1391676175,1391676429,254
17,1391676439,1391676439,0
16,1391676438,1391676440,2
15,1391676438,1391676537,99
18,1391676543,1391676547,4
19,1391676603,1391676628,25
20,1391676637,1391676701,64
21,1391676716,1391676751,35
22,1391676751,1391676969,218
24,1391676997,1391677006,9
23,1391676991,1391677051,60
26,1391677052,1391677060,8
25,1391677051,1391677062,11
28,1391677063,1391677154,91
27,1391677063,1391677200,137
29,1391677202,1391677271,69
30,1391677271,1391677273,2
31,1391677290,1391677355,65
32,1391677361,1391677423,62
33,1391677430,1391677500,70
34,1391677438,1391677501,63
37,1391677519,1391677528,9
39,1391677529,1391677544,15
36,1391677517,1391677557,40
38,1391677528,1391677557,29
35,1391677507,1391677559,52
40,1391677536,1391677562,26
