2014-01-23 21:46:01	starte Spiel
2014-01-23 21:46:05	starte Spiel
2014-01-23 21:59:56	starte Spiel
2014-01-23 21:59:56	idle
2014-01-23 22:00:02	starte Spiel
2014-01-23 22:00:02	idle
2014-01-23 22:01:56	starte Spiel
2014-01-23 22:01:56	idle
2014-01-23 22:02:50	starte Spiel
2014-01-23 22:02:50	idle
2014-01-23 22:03:14	starte Spiel
2014-01-23 22:03:14	idle
2014-01-23 22:19:02	starte Spiel
2014-01-23 22:19:02	idle
2014-01-23 22:19:23	intro
2014-01-23 22:19:29	warten
2014-01-23 22:19:44	abbruch
2014-01-23 22:20:15	starte Spiel
2014-01-23 22:20:15	idle
2014-01-23 22:20:23	intro
2014-01-23 22:20:30	warten
2014-01-23 22:23:46	starte Spiel
2014-01-23 22:23:46	idle
2014-01-23 22:23:52	intro
2014-01-23 22:23:58	warten
2014-01-23 22:26:24	starte Spiel
2014-01-23 22:26:24	idle
2014-01-23 22:26:27	intro
2014-01-23 22:26:33	warten
2014-01-23 22:29:36	starte Spiel
2014-01-23 22:29:36	idle
2014-01-23 22:29:44	intro
2014-01-23 22:29:51	warten
2014-01-23 22:32:38	starte Spiel
2014-01-23 22:32:38	idle
2014-01-23 22:33:37	starte Spiel
2014-01-23 22:33:37	idle
2014-01-23 22:33:41	intro
2014-01-23 22:33:48	warten
2014-01-23 22:34:38	starte Spiel
2014-01-23 22:34:38	idle
2014-01-23 22:34:42	intro
2014-01-23 22:34:48	warten
2014-01-23 22:35:03	abbruch
2014-01-23 22:49:43	starte Spiel
2014-01-23 22:49:43	idle
2014-01-23 22:49:47	intro
2014-01-23 22:49:54	warten
2014-01-23 22:49:54	idle
2014-01-23 22:49:54	intro
2014-01-23 22:50:01	warten
2014-01-23 22:50:16	abbruch
2014-01-23 22:51:04	starte Spiel
2014-01-23 22:51:04	idle
2014-01-23 22:51:11	intro
2014-01-23 22:51:18	warten
2014-01-23 22:51:33	abbruch
2014-01-23 23:15:08	starte Spiel
2014-01-23 23:15:08	idle
2014-01-23 23:15:12	intro
2014-01-23 23:15:19	warten
2014-01-23 23:15:34	abbruch
2014-01-23 23:21:03	starte Spiel
2014-01-23 23:21:03	idle
2014-01-23 23:21:23	starte Spiel
2014-01-23 23:21:23	idle
2014-01-23 23:21:26	intro
2014-01-23 23:21:32	warten
2014-01-23 23:21:47	abbruch
2014-01-23 23:21:52	beende Spiel

2014-01-23 23:26:10	starte Spiel
2014-01-23 23:26:10	idle
2014-01-23 23:31:27	starte Spiel
2014-01-23 23:31:27	idle
2014-01-23 23:31:29	intro
2014-01-23 23:31:35	warten
2014-01-23 23:31:50	abbruch
